id,type,category,name_c,name_j,name_e,obtainedFrom,buy,sell,themes,series,DIY,diyInfoMaterials,diyInfoObtainedFrom,diyInfoSourceNotes,filename,version
4813,homeStyle,壁紙,不規則石頭牆,ランダムストーンのかべ,rustic-stone wall,DIY,,1750,"['設施', '商店']",無,True,"[{'count': 5, 'itemName': '石頭'}, {'count': 5, 'itemName': '黏土'}]",['成熟型村民'],,RoomTexWallStone00,1.0.0
4814,homeStyle,壁紙,藍色皇冠壁紙,ブルークラウンのかべがみ,blue-crown wall,Nook商店,2350,587,['富裕'],無,False,,,,RoomTexWallCrown00,1.0.0
4815,homeStyle,壁紙,黑色皇冠壁紙,ブラッククラウンのかべがみ,black-crown wall,Nook商店,2350,587,['富裕'],無,False,,,,RoomTexWallCrown01,1.0.0
4816,homeStyle,壁紙,粉紅皇冠壁紙,ピンククラウンのかべがみ,pink-crown wall,Nook商店,2350,587,"['奇幻', '富裕']",無,False,,,,RoomTexWallCrown02,1.0.0
4817,homeStyle,壁紙,米色裝飾線板壁紙,ベージュのアールデコかべがみ,beige art-deco wall,Nook商店,2780,695,"['兒童房', '客廳']",無,False,,,,RoomTexWallArtDeco00,1.0.0
4818,homeStyle,壁紙,紅色裝飾線板壁紙,レッドのアールデコかべがみ,red art-deco wall,Nook商店,2780,695,"['兒童房', '客廳']",無,False,,,,RoomTexWallArtDeco01,1.0.0
4819,homeStyle,壁紙,日式拉門,ふすま,screen wall,Nook商店,3000,750,"['東洋風', '設施']",無,False,,,,RoomTexWallFusuma00,1.0.0
4820,homeStyle,壁紙,金箔日式拉門,きんぱくのふすま,gold-screen wall,DIY,,20750,"['東洋風', '富裕']",無,True,"[{'count': 2, 'itemName': '金礦石'}, {'count': 1, 'itemName': '日式拉門'}]",['自戀型村民'],,RoomTexWallFusumaGorgeous00,1.0.0
4821,homeStyle,壁紙,主機板牆,きばんのかべ,circuit-board wall,駱嵐,3000,750,['設施'],無,False,,,,RoomTexWallGeek00,1.0.0
4825,homeStyle,壁紙,鐵捲門牆,シャッターのかべ,shutter wall,駱嵐,3000,750,"['設施', '商店']",無,False,,,,RoomTexWallShutter00,1.0.0
4826,homeStyle,壁紙,白色植物圖案磚牆,しろいボタニカルタイルのかべ,white botanical-tile wall,Nook商店,1240,310,"['設施', '富裕']",無,False,,,,RoomTexWallWoodTile00,1.0.0
4827,homeStyle,壁紙,棕色植物圖案磚牆,ブラウンボタニカルタイルのかべ,brown botanical-tile wall,Nook商店,1240,310,"['設施', '富裕']",無,False,,,,RoomTexWallWoodTile01,1.0.0
4828,homeStyle,壁紙,古典壁紙,クラシックなかべがみ,chic wall,Nook商店,1960,490,"['富裕', '客廳']",無,False,,,,RoomTexWallClassic00,1.0.0
4830,homeStyle,壁紙,東方風交叉格柵,オリエンタルなラティス,lattice wall,Nook商店,1780,445,"['東洋風', '商店']",無,False,,,,RoomTexWallLattice00,1.0.0
4831,homeStyle,壁紙,米色花草圖案牆,ベージュのくさばなもようのかべ,beige blossoming wall,Nook商店,1760,440,"['奇幻', '客廳']",無,False,,,,RoomTexWallCountry00,1.0.0
4832,homeStyle,壁紙,波浪磚牆,ウェーブタイルのかべ,wavy-tile wall,Nook商店,1740,435,"['商店', '設施']",無,False,,,,RoomTexWallWaveTile00,1.0.0
4833,homeStyle,壁紙,竹子牆,バンブーなかべ,bamboo wall,DIY,,2400,['東洋風'],竹子,True,"[{'count': 15, 'itemName': '竹子材料'}]",['暴躁型村民'],,RoomTexWallBamboo00,1.0.0
4834,homeStyle,壁紙,米色摩洛哥磚牆,ベージュのモロッカンタイルかべ,beige desert-tile wall,Nook商店,2440,610,"['浴室‧廁所', '設施']",無,False,,,,RoomTexWallMorocco00,1.0.0
4835,homeStyle,壁紙,藍色摩洛哥磚牆,ブルーのモロッカンタイルかべ,blue desert-tile wall,Nook商店,2440,610,"['浴室‧廁所', '設施']",無,False,,,,RoomTexWallMorocco01,1.0.0
4836,homeStyle,壁紙,竹簾牆,すだれのかべ,bamboo-screen wall,Nook商店,1770,442,['東洋風'],無,False,,,,RoomTexWallRattan00,1.0.0
4837,homeStyle,壁紙,圖書館牆,ライブラリーなかべ,classic-library wall,DIY,,1450,['書房'],無,True,"[{'count': 10, 'itemName': '書'}]",['普通型村民'],,RoomTexWallLibrary00,1.0.0
4838,homeStyle,壁紙,漫畫圖書館牆,マンガライブラリーなかべ,manga-library wall,DIY,,1050,"['設施', '書房']",無,True,"[{'count': 10, 'itemName': '雜誌'}]",['活力型村民'],,RoomTexWallLibrary01,1.0.0
4839,homeStyle,壁紙,銀行保險箱牆,かしきんこのかべ,bank-vault wall,駱嵐,3000,750,"['設施', '富裕']",無,False,,,,RoomTexWallSafeBox00,1.0.0
4840,homeStyle,壁紙,木屋牆,ログハウスのかべ,cabin wall,DIY,,1800,"['客廳', '設施']",無,True,"[{'count': 15, 'itemName': '硬木材'}]",['活力型村民'],,RoomTexWallLog00,1.0.0
4841,homeStyle,壁紙,縐紗紋壁紙,ちりめんもようのかべがみ,crepe-design wall,Nook商店,1550,387,['東洋風'],無,False,,,,RoomTexWallCrepe00,1.0.0
4843,homeStyle,壁紙,施工現場牆,こうじげんばのかべ,construction-site wall,駱嵐,3000,750,"['車庫', '設施']",無,False,,,,RoomTexWallBlueSheet00,1.0.0
4844,homeStyle,壁紙,木質牆,ウッディなかべ,stacked-wood wall,DIY,,1800,"['車庫', '設施']",無,True,"[{'count': 15, 'itemName': '硬木材'}]",['運動型村民'],,RoomTexWallFireWood00,1.0.0
4845,homeStyle,壁紙,夯土牆,はんちくのかべ,rammed-earth wall,Nook商店,1800,450,['民藝'],無,False,,,,RoomTexWallHanchiku00,1.0.0
4846,homeStyle,壁紙,迷幻壁紙,サイケなかべがみ,groovy wall,Nook商店,1280,320,['派對'],無,False,,,,RoomTexWallPsyche00,1.0.0
4847,homeStyle,壁紙,復古花紋壁紙,レトロなはながらのかべがみ,retro flower-print wall,Nook商店,1660,415,"['奇幻', '客廳']",無,False,,,,RoomTexWallKitsch00,1.0.0
4848,homeStyle,壁紙,藍色布牆,あおいテキスタイルのかべ,blue intricate wall,Nook商店,1570,392,"['客廳', '商店']",無,False,,,,RoomTexWallFlowerPop00,1.0.0
4849,homeStyle,壁紙,黃色布牆,きいろいテキスタイルのかべ,yellow intricate wall,Nook商店,1570,392,"['客廳', '商店']",無,False,,,,RoomTexWallFlowerPop01,1.0.0
4850,homeStyle,壁紙,常春藤牆,つたのかべ,ivy wall,駱嵐,3000,750,"['設施', '商店']",無,False,,,,RoomTexWallIvy00,1.0.0
4851,homeStyle,壁紙,抱石牆,ボルダリングのかべ,rock-climbing wall,駱嵐,3000,750,['健身'],無,False,,,,RoomTexWallBouldering00,1.0.0
4852,homeStyle,壁紙,摩天大樓牆,まてんろうのかべ,skyscraper wall,駱嵐,3000,750,['富裕'],無,False,,,,RoomTexWallSkyscraper00,1.0.0
4853,homeStyle,壁紙,竹林牆,ちくりんのかべ,bamboo-grove wall,DIY,,4300,['東洋風'],竹子,True,"[{'count': 7, 'itemName': '春筍'}, {'count': 3, 'itemName': '竹筍'}]",['氣球'],僅在春季期間獲得,RoomTexWallChikurin00,1.0.0
4854,homeStyle,壁紙,畫室牆,アトリエのかべ,paintball wall,駱嵐,3000,750,"['車庫', '設施']",無,False,,,,RoomTexWallAtelier00,1.0.0
4855,homeStyle,壁紙,雪花壁紙,スノーフレークのかべがみ,snowflake wall,DIY,,4800,['嚴寒'],無,True,"[{'count': 12, 'itemName': '雪花'}]",['氣球'],僅在冬季期間獲得,RoomTexWallSnowCrystal00,1.0.0
4856,homeStyle,壁紙,破爛泥土牆,ボロいつちかべ,dirt-clod wall,Nook商店,200,50,['恐怖'],無,False,,,,RoomTexWallOldSoil00,1.0.0
4857,homeStyle,壁紙,破爛壁紙,ボロいかべがみ,old wallpaper,Nook商店,200,50,['恐怖'],無,False,,,,RoomTexWallOld00,1.0.0
4858,homeStyle,壁紙,原木牆,ワイルドウッドのかべ,wild-wood wall,DIY,,1800,"['客廳', '商店']",無,True,"[{'count': 15, 'itemName': '木材'}]",['暴躁型村民'],,RoomTexWallWildWood00,1.0.0
4859,homeStyle,壁紙,嵌木牆,よせぎのかべ,wooden-mosaic wall,DIY,,1800,"['客廳', '商店']",無,True,"[{'count': 15, 'itemName': '木材'}]",['普通型村民'],,RoomTexWallMixPlankWood00,1.0.0
4860,homeStyle,壁紙,深色嵌木牆,ダークなよせぎのかべ,dark wooden-mosaic wall,DIY,,1800,"['客廳', '商店']",無,True,"[{'count': 15, 'itemName': '木材'}]",['大姐姐型村民'],,RoomTexWallMixPlankWood01,1.0.0
4861,homeStyle,壁紙,文藝復興牆,ルネッサンスなかべ,stately wall,Nook商店,2450,612,['富裕'],無,False,,,,RoomTexWallRenaissance00,1.0.0
4862,homeStyle,壁紙,馬賽克磚牆,アートモザイクタイルのかべ,mosaic-tile wall,Nook商店,1450,362,"['浴室‧廁所', '設施']",無,False,,,,RoomTexWallMosaicTile00,1.0.0
4863,homeStyle,壁紙,日式紙拉門,しょうじ,shoji screen,Nook商店,1880,470,['東洋風'],無,False,,,,RoomSpWallShoji00,1.0.0
4864,homeStyle,壁紙,摩登日式紙拉門,モダンなしょうじ,modern shoji-screen wall,Nook商店,1150,287,"['東洋風', '商店']",無,False,,,,RoomSpWallShojiModem00,1.0.0
4865,homeStyle,壁紙,蜂巢牆,ビーハイブなかべ,honeycomb wall,DIY,,3600,"['奇幻', '設施']",無,True,"[{'count': 6, 'itemName': '蜂巢'}]",['運動型村民'],,RoomTexWallHoney00,1.0.0
4866,homeStyle,壁紙,中華風牆,チャイナなかべ,exquisite wall,駱嵐,3000,750,"['東洋風', '商店']",無,False,,,,RoomTexWallChina00,1.0.0
4867,homeStyle,壁紙,米色簡約布面牆,ベージュのシンプルクロス,yellow simple-cloth wall,Nook商店,750,187,"['兒童房', '客廳']",無,False,,,,RoomTexWallSimple01,1.0.0
4868,homeStyle,壁紙,粉紅簡約布面牆,ピンクのシンプルクロス,pink simple-cloth wall,Nook商店,750,187,"['兒童房', '客廳']",無,False,,,,RoomTexWallSimple02,1.0.0
4869,homeStyle,壁紙,藍色簡約布面牆,あおいシンプルクロス,blue simple-cloth wall,Nook商店,750,187,"['兒童房', '客廳']",無,False,,,,RoomTexWallSimple03,1.0.0
4870,homeStyle,壁紙,橘色線板牆,オレンジのパネルモールドかべ,orange molded-panel wall,Nook商店,1980,495,"['奇幻', '兒童房']",無,False,,,,RoomTexWallPanelMold00,1.0.0
4871,homeStyle,壁紙,藍色線板牆,あおいパネルモールドかべ,blue molded-panel wall,Nook商店,1980,495,"['富裕', '商店']",無,False,,,,RoomTexWallPanelMold01,1.0.0
4872,homeStyle,壁紙,灰色線板牆,グレーのパネルモールドかべ,gray molded-panel wall,Nook商店,1980,495,"['富裕', '商店']",無,False,,,,RoomTexWallPanelMold02,1.0.0
4873,homeStyle,壁紙,抽象藝術牆,アブストラクトなかべ,abstract wall,Nook商店,1560,390,"['商店', '設施']",無,False,,,,RoomTexWallAbstract00,1.0.0
4874,homeStyle,壁紙,藍色愛心壁紙,ブルーハートのかべがみ,blue heart-pattern wall,Nook商店,1280,320,"['奇幻', '兒童房']",無,False,,,,RoomTexWallHeart00,1.0.0
4875,homeStyle,壁紙,粉紅愛心壁紙,ピンクハートのかべがみ,pink heart-pattern wall,Nook商店,1280,320,"['奇幻', '兒童房']",無,False,,,,RoomTexWallHeart01,1.0.0
4876,homeStyle,壁紙,工廠牆,ファクトリーなかべ,industrial wall,駱嵐,3000,750,['設施'],無,False,,,,RoomTexWallFactory00,1.0.0
4877,homeStyle,壁紙,珠簾牆,たまのれんのかべ,beaded-curtain wall,Nook商店,1720,430,"['商店', '廚房']",無,False,,,,RoomTexWallBeadsCurtain00,1.0.0
4878,homeStyle,壁紙,舞台布幕牆,どんちょうのかべ,heavy-curtain wall,駱嵐,3000,750,"['音樂', '派對']",無,False,,,,RoomTexWallThickCurtain00,1.0.0
4879,homeStyle,壁紙,魚兒壁紙,おサカナのかべがみ,marine pop wall,活動：釣魚大賽,,805,"['大海', '兒童房']",無,False,,,,RoomTexWallFish00,1.0.0
4880,homeStyle,壁紙,蝴蝶壁紙,バタフライなかべがみ,butterflies wall,活動：抓蟲大會,,840,"['奇幻', '設施']",無,False,,,,RoomTexWallInsect00,1.0.0
4881,homeStyle,壁紙,唇印壁紙,キッスのかべがみ,kisses wall,駱嵐,3000,750,"['派對', '奇幻']",無,False,,,,RoomTexWallKiss00,1.0.0
4882,homeStyle,壁紙,黑板牆,こくばんのかべ,blackboard wall,駱嵐,3000,750,"['商店', '學校']",無,False,,,,RoomTexWallBlackBoard00,1.0.0
4883,homeStyle,壁紙,迷彩壁紙,めいさいのかべがみ,camo wall,Nook商店,1150,287,"['派對', '兒童房']",無,False,,,,RoomTexWallCamouflage00,1.0.0
4884,homeStyle,壁紙,藍色迷彩壁紙,ブルーめいさいのかべがみ,blue camo wall,Nook商店,1150,287,"['派對', '兒童房']",無,False,,,,RoomTexWallCamouflage01,1.0.0
4885,homeStyle,壁紙,紫色迷彩壁紙,パープルめいさいのかべがみ,purple camo wall,Nook商店,1150,287,"['派對', '兒童房']",無,False,,,,RoomTexWallCamouflage02,1.0.0
4886,homeStyle,壁紙,粉嫩巧拼壁紙,パステルパズルかべがみ,pastel puzzle wall,Nook商店,1540,385,"['奇幻', '兒童房']",無,False,,,,RoomTexWallPuzzle00,1.0.0
4887,homeStyle,壁紙,彩色巧拼壁紙,カラフルパズルかべがみ,colorful puzzle wall,Nook商店,1540,385,"['奇幻', '兒童房']",無,False,,,,RoomTexWallPuzzle01,1.0.0
4888,homeStyle,壁紙,藍色兒童房壁紙,あおいキッズルームのかべがみ,blue playroom wall,Nook商店,2540,635,"['兒童房', '奇幻']",無,False,,,,RoomTexWallToy00,1.0.0
4889,homeStyle,壁紙,粉紅色兒童房壁紙,ピンクのキッズルームのかべがみ,pink playroom wall,Nook商店,2540,635,"['兒童房', '奇幻']",無,False,,,,RoomTexWallToy01,1.0.0
4890,homeStyle,壁紙,混凝土牆,コンクリートのかべ,concrete wall,Nook商店,940,235,"['車庫', '設施']",無,False,,,,RoomTexWallConcrete00,1.0.0
4891,homeStyle,壁紙,白色碎花壁紙,しろいこばながらのかべがみ,white delicate-blooms wall,Nook商店,1900,475,"['富裕', '客廳']",無,False,,,,RoomTexWallManor00,1.0.0
4892,homeStyle,壁紙,灰階配色點點壁紙,モノクロドットのかべがみ,monochromatic dotted wall,Nook商店,1100,275,"['奇幻', '兒童房']",無,False,,,,RoomTexWallDot00,1.0.0
4893,homeStyle,壁紙,粉紅色花紋壁紙,ピンクのはながらのかべがみ,pink flower-print wall,Nook商店,1780,445,"['奇幻', '客廳']",無,False,,,,RoomTexWallFlower00,1.0.0
4894,homeStyle,壁紙,黃金牆,おうごんのかべ,golden wall,DIY,,40000,"['富裕', '恐怖']",黃金,True,"[{'count': 4, 'itemName': '金礦石'}]",['自戀型村民'],,RoomTexWallGold00,1.0.0
4895,homeStyle,壁紙,粉紅色花草圖案牆,ピンクのくさばなもようのかべ,pink blossoming wall,Nook商店,1760,440,"['奇幻', '客廳']",無,False,,,,RoomTexWallCountry01,1.0.0
4896,homeStyle,壁紙,藍色花草圖案牆,あおいくさばなもようのかべ,blue blossoming wall,Nook商店,1760,440,"['奇幻', '客廳']",無,False,,,,RoomTexWallCountry02,1.0.0
4897,homeStyle,壁紙,紅色碎花壁紙,あかいこばながらのかべがみ,red delicate-blooms wall,Nook商店,1900,475,"['富裕', '客廳']",無,False,,,,RoomTexWallManor01,1.0.0
4898,homeStyle,壁紙,綠色碎花壁紙,グリーンのこばながらのかべがみ,green delicate-blooms wall,Nook商店,1900,475,"['富裕', '客廳']",無,False,,,,RoomTexWallManor02,1.0.0
4899,homeStyle,壁紙,粉嫩圓點壁紙,パステルドットのかべがみ,pastel dotted wall,Nook商店,1100,275,"['奇幻', '兒童房']",無,False,,,,RoomTexWallDot01,1.0.0
4900,homeStyle,壁紙,紅色圓點壁紙,レッドドットのかべがみ,red dotted wall,Nook商店,1100,275,"['奇幻', '兒童房']",無,False,,,,RoomTexWallDot02,1.0.0
4902,homeStyle,壁紙,紫色圓點壁紙,パープルドットのかべがみ,purple dotted wall,Nook商店,1100,275,"['奇幻', '兒童房']",無,False,,,,RoomTexWallDot04,1.0.0
4903,homeStyle,壁紙,綠色花草圖案牆,みどりのくさばなもようのかべ,green blossoming wall,Nook商店,1760,440,"['奇幻', '客廳']",無,False,,,,RoomTexWallCountry03,1.0.0
4904,homeStyle,壁紙,拼木牆,ミックスウッドのかべ,modern wood wall,DIY,,1800,"['客廳', '兒童房']",無,True,"[{'count': 5, 'itemName': '木材'}, {'count': 5, 'itemName': '軟木材'}, {'count': 5, 'itemName': '硬木材'}]",['成熟型村民'],,RoomTexWallMixwood00,1.0.0
4905,homeStyle,壁紙,楓葉牆,こうようのかべ,autumn wall,DIY,,4700,['庭園'],樹果‧落葉,True,"[{'count': 10, 'itemName': '楓葉'}, {'count': 5, 'itemName': '木材'}, {'count': 5, 'itemName': '雜草'}]",['氣球'],僅在楓葉季節期間獲得,RoomSpWallAutumun00,1.0.0
4906,homeStyle,壁紙,玫瑰壁紙,バラのかべがみ,rose wall,Nook商店,1720,430,['奇幻'],無,False,,,,RoomTexWallRose00,1.0.0
4907,homeStyle,壁紙,紫色玫瑰壁紙,むらさきのバラのかべがみ,purple-rose wall,Nook商店,1720,430,['奇幻'],無,False,,,,RoomTexWallRose01,1.0.0
4908,homeStyle,壁紙,引人入勝牆,キャッチーなかべ,mod wall,Nook商店,1220,305,['派對'],無,False,,,,RoomTexWallMod00,1.0.0
4909,homeStyle,壁紙,六角磚牆,ハニカムタイルのかべ,honeycomb-tile wall,Nook商店,1680,420,"['浴室‧廁所', '設施']",無,False,,,,RoomTexWallHoneycomb00,1.0.0
4910,homeStyle,壁紙,灰階配色磚牆,モノクロタイルのかべ,monochromatic-tile wall,Nook商店,1420,355,"['浴室‧廁所', '設施']",無,False,,,,RoomTexWallTile00,1.0.0
4911,homeStyle,壁紙,木節牆,ふしありウッドウォール,wooden-knot wall,DIY,,1800,"['客廳', '兒童房']",無,True,"[{'count': 15, 'itemName': '硬木材'}]",['自戀型村民'],,RoomTexWallCedar00,1.0.0
4912,homeStyle,壁紙,藍色六角磚牆,あおいハニカムタイルのかべ,blue honeycomb-tile wall,Nook商店,1680,420,"['浴室‧廁所', '設施']",無,False,,,,RoomTexWallHoneycomb01,1.0.0
4913,homeStyle,壁紙,綠色六角磚牆,みどりのハニカムタイルのかべ,green honeycomb-tile wall,Nook商店,1680,420,"['浴室‧廁所', '設施']",無,False,,,,RoomTexWallHoneycomb02,1.0.0
4914,homeStyle,壁紙,白色六角磚牆,しろいハニカムタイルのかべ,white honeycomb-tile wall,Nook商店,1680,420,"['浴室‧廁所', '設施']",無,False,,,,RoomTexWallHoneycomb03,1.0.0
4915,homeStyle,壁紙,橘子壁紙,オレンジのかべがみ,orange wall,DIY,,4000,"['奇幻', '兒童房']",水果,True,"[{'count': 20, 'itemName': '橘子'}]",['悠閒型村民'],,RoomTexWallOrange00,1.0.0
4916,homeStyle,壁紙,蘋果壁紙,リンゴのかべがみ,apple wall,DIY,,4000,"['奇幻', '兒童房']",水果,True,"[{'count': 20, 'itemName': '蘋果'}]",['大姐姐型村民'],,RoomTexWallApple00,1.0.0
4917,homeStyle,壁紙,梨子壁紙,ナシのかべがみ,pear wall,DIY,,4000,"['奇幻', '兒童房']",水果,True,"[{'count': 20, 'itemName': '梨子'}]",['運動型村民'],,RoomTexWallPear00,1.0.0
4918,homeStyle,壁紙,桃子壁紙,モモのかべがみ,peach wall,DIY,,4000,"['奇幻', '兒童房']",水果,True,"[{'count': 20, 'itemName': '桃子'}]",['普通型村民'],,RoomTexWallPeach00,1.0.0
4919,homeStyle,壁紙,櫻桃壁紙,さくらんぼのかべがみ,cherry wall,DIY,,4000,"['兒童房', '奇幻']",水果,True,"[{'count': 20, 'itemName': '櫻桃'}]",['活力型村民'],,RoomTexWallCherry00,1.0.0
4920,homeStyle,壁紙,白色洞洞板牆,しろいパンチングボードのかべ,white perforated-board wall,Nook商店,1180,295,"['音樂', '設施']",無,False,,,,RoomTexWallPegboard00,1.0.0
4921,homeStyle,壁紙,洞洞板牆,パンチングボードのかべ,perforated-board wall,Nook商店,1180,295,"['音樂', '設施']",無,False,,,,RoomTexWallPegboard01,1.0.0
4922,homeStyle,壁紙,黑色洞洞板牆,くろいパンチングボードのかべ,black perforated-board wall,Nook商店,1180,295,"['音樂', '設施']",無,False,,,,RoomTexWallPegboard02,1.0.0
4923,homeStyle,壁紙,灰色鐵皮牆,グレーのトタンかべ,gray shanty wall,Nook商店,620,155,['車庫'],無,False,,,,RoomTexWallTin00,1.0.0
4924,homeStyle,壁紙,粉紅鐵皮牆,ピンクのトタンかべ,pink shanty wall,Nook商店,620,155,['車庫'],無,False,,,,RoomTexWallTin01,1.0.0
4925,homeStyle,壁紙,藍色鐵皮牆,ブルーのトタンかべ,blue shanty wall,Nook商店,620,155,['車庫'],無,False,,,,RoomTexWallTin02,1.0.0
4926,homeStyle,壁紙,褐色鐵皮牆,ちゃいろのトタンかべ,brown shanty wall,Nook商店,620,155,['車庫'],無,False,,,,RoomTexWallTin03,1.0.0
4927,homeStyle,壁紙,白色磚塊牆,しろレンガのかべ,white-brick wall,Nook商店,1000,250,"['設施', '商店']",無,False,,,,RoomTexWallBrick00,1.0.0
4928,homeStyle,壁紙,紅色磚塊牆,あかレンガのかべ,red-brick wall,Nook商店,1000,250,"['設施', '商店']",無,False,,,,RoomTexWallBrick01,1.0.0
4929,homeStyle,壁紙,黑色磚塊牆,くろレンガのかべ,black-brick wall,Nook商店,1000,250,"['設施', '商店']",無,False,,,,RoomTexWallBrick02,1.0.0
4930,homeStyle,壁紙,水藍色磚牆,みずいろタイルのかべ,aqua tile wall,Nook商店,1420,355,"['浴室‧廁所', '設施']",無,False,,,,RoomTexWallTile01,1.0.0
4931,homeStyle,壁紙,彩色磚牆,カラフルタイルのかべ,colorful-tile wall,Nook商店,1420,355,"['浴室‧廁所', '設施']",無,False,,,,RoomTexWallTile02,1.0.0
4932,homeStyle,壁紙,黑巧克力牆,ビターチョコなかべ,dark-chocolate wall,駱嵐,3000,750,['奇幻'],無,False,,,,RoomTexWallChocolate00,1.0.0
4933,homeStyle,壁紙,白巧克力牆,ホワイトチョコなかべ,white-chocolate wall,駱嵐,3000,750,['奇幻'],無,False,,,,RoomTexWallChocolate01,1.0.0
4934,homeStyle,壁紙,草莓巧克力牆,いちごチョコなかべ,strawberry-chocolate wall,駱嵐,3000,750,['奇幻'],無,False,,,,RoomTexWallChocolate02,1.0.0
4935,homeStyle,壁紙,綠色花紋壁紙,グリーンのはながらかべがみ,green flower-print wall,Nook商店,1780,445,"['奇幻', '客廳']",無,False,,,,RoomTexWallFlower01,1.0.0
4936,homeStyle,壁紙,埃及牆,エジプトなかべ,ancient wall,駱嵐,3000,750,"['民藝', '恐怖']",無,False,,,,RoomTexWallEgypt00,1.0.0
4939,homeStyle,壁紙,白色簡約布面牆,しろいシンプルクロス,white simple-cloth wall,Nook商店,750,187,"['兒童房', '客廳']",無,False,,,,RoomTexWallSimple00,1.0.0
4940,homeStyle,壁紙,藍色地鐵磚牆,あおいメトロタイルのかべ,blue subway-tile wall,Nook商店,1340,335,"['設施', '商店']",無,False,,,,RoomTexWallMetro00,1.0.0
4941,homeStyle,壁紙,白色地鐵磚牆,しろいメトロタイルのかべ,white subway-tile wall,Nook商店,1340,335,"['設施', '商店']",無,False,,,,RoomTexWallMetro01,1.0.0
4943,homeStyle,壁紙,粉紅條紋壁紙,ピンクストライプのかべがみ,pink-striped wall,Nook商店,1520,380,"['奇幻', '兒童房']",無,False,,,,RoomTexWallStripe01,1.0.0
4944,homeStyle,壁紙,灰階配色條紋壁紙,モノクロストライプのかべがみ,gray-striped wall,Nook商店,1520,380,"['奇幻', '兒童房']",無,False,,,,RoomTexWallStripe02,1.0.0
4945,homeStyle,壁紙,藍色條紋壁紙,ブルーストライプのかべがみ,blue-striped wall,Nook商店,1520,380,"['奇幻', '兒童房']",無,False,,,,RoomTexWallStripe03,1.0.0
4946,homeStyle,壁紙,黃色條紋壁紙,イエローストライプのかべがみ,yellow-striped wall,Nook商店,1520,380,"['奇幻', '兒童房']",無,False,,,,RoomTexWallStripe04,1.0.0
4947,homeStyle,壁紙,櫻花木牆,さくらのウッドウォール,sakura-wood wall,DIY,,3200,"['兒童房', '奇幻']",櫻花,True,"[{'count': 5, 'itemName': '櫻花花瓣'}, {'count': 10, 'itemName': '木材'}]",['氣球'],僅在櫻花季節期間獲得,RoomTexWallSolidWood00,1.0.0
4948,homeStyle,壁紙,藍色油漆木牆,あおいペイントウッドのかべ,blue painted-wood wall,Nook商店,1650,412,"['奇幻', '客廳']",無,False,,,,RoomTexWallPaintWood00,1.0.0
