id,type,name_c,name_j,name_e,buy,sell,category,tag,themes,series,interact,size,obtainedFrom,DIY,diyInfoMaterials,diyInfoObtainedFrom,diyInfoSourceNotes,bodyTitle,patternTitle,bodyCustomize,patternCustomize,filename,version,variations
331,furnitures,小鳥水盆,バードバス,birdbath,,900,家具,花園,['庭園'],無,False,1x1,DIY,True,"[{'count': 6, 'itemName': '石頭'}]","['成熟型村民', '狸克']",幫村民蓋房子劇情中有50%機會獲得,主體顏色,無,True,False,FtrBirdbus_Remake_0_0,1.0.0,"{'bodys': {'自然色': '0', '紅色': '1', '白色': '2', '黑色': '3'}, 'pattrens': {}}"
333,furnitures,鳥巢屋,すばこ,birdhouse,,840,家具,動物,['庭園'],無,False,1x1,DIY,True,"[{'count': 2, 'itemName': '木材'}, {'count': 5, 'itemName': '軟木材'}]","['活力型村民', '狸克']",,油漆,無,True,False,FtrBirdhouse_Remake_0_0,1.0.0,"{'bodys': {'自然色': '0', '深棕色': '1', '自然色&白色': '2', '紅色&白色': '3', '藍色': '4', '白色': '5'}, 'pattrens': {}}"
335,furnitures,雄紅鶴,おすのフラミンゴ,Mr. Flamingo,3000,750,家具,動物,"['庭園', '奇幻']",無,False,1x1,Nook商店,False,,,,無,無,False,False,FtrFlamingoMale_Remake_0_0,1.0.0,"{'bodys': {'自然色': '0', '白色': '1'}, 'pattrens': {}}"
336,furnitures,雌紅鶴,めすのフラミンゴ,Mrs. Flamingo,3000,750,家具,動物,"['庭園', '奇幻']",無,False,1x1,Nook商店,False,,,,無,無,False,False,FtrFlamingoFemale_Remake_0_0,1.0.0,"{'bodys': {'自然色': '0', '白色': '1'}, 'pattrens': {}}"
338,furnitures,割草機,しばかりき,lawn mower,2900,725,家具,花園,['庭園'],無,False,1x1,Nook商店,False,,,,無,無,False,False,FtrLawnmower_Remake_0_0,1.0.0,"{'bodys': {'紅色': '0', '橘色': '1', '藍色': '2', '黃色': '3', '綠色': '4'}, 'pattrens': {}}"
343,furnitures,火把,たいまつ,tiki torch,,650,家具,燈,"['戶外', '庭園']",無,True,1x1,DIY,True,"[{'count': 5, 'itemName': '樹枝'}, {'count': 5, 'itemName': '木材'}]","['暴躁型村民', '狸克']",,無,無,False,False,FtrTorch,1.0.0,"{'bodys': {}, 'pattrens': {}}"
383,furnitures,木吉他,アコースティックギター,acoustic guitar,,3210,家具,樂器,['音樂'],無,True,1x1,DIY,True,"[{'count': 8, 'itemName': '軟木材'}, {'count': 3, 'itemName': '鐵礦石'}]",['自戀型村民'],,主體,無,True,False,FtrAcorsticguitar_Remake_0_0,1.0.0,"{'bodys': {'自然色': '0', '櫻桃色': '1', '棕色': '2', '藍色': '3', '白色': '4', '黑色': '5', '粉紅色': '6'}, 'pattrens': {}}"
530,furnitures,草叢道具,ハリボテのくさ,grass standee,,480,家具,學校,['學校'],無,False,1x0.5,DIY,True,"[{'count': 2, 'itemName': '木材'}, {'count': 2, 'itemName': '軟木材'}]",['普通型村民'],,季節,無,True,False,FtrHariboteGrass_Remake_0_0,1.0.0,"{'bodys': {'春': '0', '夏': '1', '秋': '2', '冬': '3'}, 'pattrens': {}}"
531,furnitures,樹叢道具,ハリボテのいけがき,hedge standee,,600,家具,學校,['學校'],無,False,1x0.5,DIY,True,"[{'count': 2, 'itemName': '木材'}, {'count': 3, 'itemName': '軟木材'}]",['普通型村民'],,季節,無,True,False,FtrHariboteHedge_Remake_0_0,1.0.0,"{'bodys': {'春': '0', '杜鵑花': '1', '夏': '2', '繡球花': '3', '扶桑花': '4', '秋': '5', '冬': '6'}, 'pattrens': {}}"
532,furnitures,假山道具,ハリボテのやま,mountain standee,,1080,家具,學校,['學校'],無,False,2x1,DIY,True,"[{'count': 4, 'itemName': '木材'}, {'count': 5, 'itemName': '軟木材'}]",['運動型村民'],,季節,無,True,False,FtrHariboteMountain_Remake_0_0,1.0.0,"{'bodys': {'春': '0', '櫻花': '1', '夏': '2', '夏季京都': '3', '秋': '4', '冬': '5'}, 'pattrens': {}}"
533,furnitures,假樹道具,ハリボテのき,tree standee,,1560,家具,學校,['學校'],無,False,2x1,DIY,True,"[{'count': 5, 'itemName': '木材'}, {'count': 8, 'itemName': '軟木材'}]",['運動型村民'],,季節,無,True,False,FtrHariboteTree_Remake_0_0,1.0.0,"{'bodys': {'春': '0', '櫻花': '1', '夏': '2', '秋': '3', '冬': '4'}, 'pattrens': {}}"
546,furnitures,身高尺,しんちょうけい,stadiometer,2100,525,家具,學校,"['學校', '設施']",無,False,1x1,Nook商店,False,,,,無,無,False,False,FtrStadiometer_Remake_0_0,1.0.0,"{'bodys': {'灰色': '0', '藍色': '1', '粉紅色': '2'}, 'pattrens': {}}"
664,furnitures,沙灘躺椅,ビーチベッド,beach chair,920,230,家具,床鋪,['大海'],無,True,2x1,Nook商店,False,,,,無,無,False,False,FtrBeachbed_Remake_0_0,1.0.0,"{'bodys': {'白色': '0', '黑色': '1', '藍色': '2', '橘色': '3', '黃色': '4', '粉紅色': '5'}, 'pattrens': {}}"
665,furnitures,消波塊,しょうはブロック,wave breaker,,3500,家具,海濱,['大海'],無,False,2x2,DIY,True,"[{'count': 10, 'itemName': '石頭'}, {'count': 10, 'itemName': '黏土'}]",['購物：哩數兌換'],,無,無,False,False,FtrTetrapod,1.0.0,"{'bodys': {}, 'pattrens': {}}"
667,furnitures,刨冰機,かきごおりき,shaved-ice maker,1400,350,小物件,廚房用品,"['廚房', '大海']",無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrIcemachine_Remake_0_0,1.0.0,"{'bodys': {'綠色': '0', '銀色': '1'}, 'pattrens': {}}"
669,furnitures,烏克麗麗,ウクレレ,ukulele,,600,小物件,樂器,['大海'],無,True,1x1,DIY,True,"[{'count': 5, 'itemName': '硬木材'}]",['自戀型村民'],,主體,無,True,False,FtrUkulele_Remake_0_0,1.0.0,"{'bodys': {'自然色': '0', '棕色': '1', '白色': '2', '海水藍': '3'}, 'pattrens': {}}"
676,furnitures,石燈籠,とうろう,tall lantern,,2700,家具,日式,['東洋風'],無,True,1x1,DIY,True,"[{'count': 18, 'itemName': '石頭'}]",['自戀型村民'],,石材,無,True,False,FtrStonelantern_Remake_0_0,1.0.0,"{'bodys': {'自然色': '0', '白色': '1', '青苔石': '2'}, 'pattrens': {}}"
677,furnitures,竹流水造景,ししおどし,deer scare,,1740,家具,日式,"['東洋風', '庭園']",竹子,True,1x1,DIY,True,"[{'count': 3, 'itemName': '竹子材料'}, {'count': 8, 'itemName': '石頭'}, {'count': 3, 'itemName': '雜草'}]",['暴躁型村民'],,竹子種類,無,True,False,FtrShishiodoshi_Remake_0_0,1.0.0,"{'bodys': {'青竹': '0', '枯竹': '1', '燻竹': '2'}, 'pattrens': {}}"
682,furnitures,迴力鏢,ブーメラン,boomerang,,360,壁掛物,玩具,['兒童房'],無,False,1x0.5 ,DIY,True,"[{'count': 3, 'itemName': '硬木材'}]",['悠閒型村民'],,設計,無,True,False,FtrBoomerang_Remake_0_0,1.0.0,"{'bodys': {'自然色': '0', '綠色&橘色': '1', '深棕色': '2', '紅色&黑色': '3', '白色&藍色': '4'}, 'pattrens': {}}"
683,furnitures,瓶中船,ボトルシップ,bottled ship,1800,450,小物件,海濱,"['大海', '民藝']",無,False,1x1,Nook商店,False,,,,無,無,False,False,FtrBottleship_Remake_0_0,1.0.0,"{'bodys': {'貿易船': '0', '觀光船': '1', '海盜船': '2'}, 'pattrens': {}}"
685,furnitures,達拉木馬,ダーラヘスト,Dala horse,,1300,小物件,民俗藝品,['民藝'],無,False,1x1,呂遊,False,,,,種類,無,True,False,FtrDalecarlianhorse_Remake_0_0,1.0.0,"{'bodys': {'紅色': '0', '藍色': '1', '白色': '2'}, 'pattrens': {}}"
688,furnitures,五重塔,ごじゅうのとう,pagoda,,2030,家具,日式,"['民藝', '東洋風']",無,False,1.5x1.5,呂遊,False,,,,種類,無,True,False,FtrGojyu_Remake_0_0,1.0.0,"{'bodys': {'紅色': '0', '自然木色': '1', '黑木色': '2'}, 'pattrens': {}}"
689,furnitures,紙老虎,はりこのとら,paper tiger,1500,375,小物件,日式,['東洋風'],無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrHarikoTiger,1.0.0,"{'bodys': {}, 'pattrens': {}}"
690,furnitures,草裙舞娃娃,フラダンスにんぎょう,hula doll,,1200,小物件,民俗藝品,"['民藝', '大海']",無,True,1x1,呂遊,False,,,,種類,無,True,False,FtrHuladoll_Remake_0_0,1.0.0,"{'bodys': {'綠色': '0', '紅色': '1', '粉紅色': '2', '藍色': '3', '黃色': '4', '米色': '5'}, 'pattrens': {}}"
693,furnitures,自由女神像,じゆうのめがみ,Statue of Liberty,,2300,家具,民俗藝品,"['民藝', '富裕']",無,True,1x1,呂遊,False,,,,無,無,False,False,FtrLiberty,1.0.0,"{'bodys': {}, 'pattrens': {}}"
698,furnitures,摩艾石像,モアイ,moai statue,,1900,家具,民俗藝品,['民藝'],無,False,2x2,呂遊,False,,,,無,無,False,False,FtrMoai,1.0.0,"{'bodys': {}, 'pattrens': {}}"
700,furnitures,比薩斜塔,ピサのしゃとう,Tower of Pisa,,2300,家具,民俗藝品,['民藝'],無,False,1x1,呂遊,False,,,,無,無,False,False,FtrPisa,1.0.0,"{'bodys': {}, 'pattrens': {}}"
704,furnitures,壁毯,タペストリー,tapestry,880,220,壁掛物,日用品,['客廳'],無,False,1x1.5 ,Nook商店,False,,,,無,無,False,False,FtrTapestry_Remake_0_0,1.0.0,"{'bodys': {'圖案': '0', '動物': '1', '花朵': '2', '童話': '3', '小鳥': '4', '雪': '5'}, 'pattrens': {}}"
710,furnitures,竹長椅,たけのベンチ,bamboo bench,,1280,家具,沙發,['東洋風'],竹子,True,2x1,DIY,True,"[{'count': 8, 'itemName': '竹子材料'}]",['普通型村民'],,竹子種類,無,True,False,FtrBambooChairL_Remake_0_0,1.0.0,"{'bodys': {'青竹': '0', '枯竹': '1', '燻竹': '2'}, 'pattrens': {}}"
716,furnitures,屏風,びょうぶ,screen,140000,35000,家具,日式,"['東洋風', '富裕']",無,False,2x1,Nook商店,False,,,,無,無,False,False,FtrScreenByoubu_Remake_0_0,1.0.0,"{'bodys': {'竹': '0', '梅': '1', '松': '2', '虎': '3', '龍': '4'}, 'pattrens': {}}"
717,furnitures,爐灶廚房,かまどのキッチン,clay furnace,3300,825,家具,廚房,"['廚房', '東洋風']",無,True,2x1,Nook商店,False,,,,無,無,False,False,FtrKitchenKamado,1.0.0,"{'bodys': {}, 'pattrens': {}}"
722,furnitures,地爐,いろり,hearth,,5470,家具,日式,['東洋風'],無,True,2x2,DIY,True,"[{'count': 2, 'itemName': '竹子材料'}, {'count': 5, 'itemName': '鐵礦石'}, {'count': 4, 'itemName': '黏土'}, {'count': 5, 'itemName': '硬木材'}]",['這種東西也能自己做？！DIY'],從Nook商店購買這種東西也能自己做?!DIY,無,無,False,False,FtrIrori,1.0.0,"{'bodys': {}, 'pattrens': {}}"
724,furnitures,燒水壺,やかん,kettle,710,177,小物件,廚房用品,"['廚房', '商店']",無,False,1x1,Nook商店,False,,,,無,無,False,False,FtrKettleJapan,1.0.0,"{'bodys': {}, 'pattrens': {}}"
725,furnitures,方形紙罩座燈,あんどん,paper lantern,780,195,家具,燈,['東洋風'],無,True,1x1,Nook商店,False,,,,無,和紙,False,True,FtrLampJapan_Remake_0_0,1.0.0,"{'bodys': {'自然木色': '0', '黑木色': '1', '橘木色': '2'}, 'pattrens': {'無圖案': '0', '春': '1', '夏': '2', '秋': '3', '冬': '4'}}"
729,furnitures,常見庭園石,よくあるにわいし,garden rock,,2250,家具,日式,['庭園'],無,False,1x1,DIY,True,"[{'count': 15, 'itemName': '石頭'}]",['悠閒型村民'],,無,無,False,False,FtrGardenrock,1.0.0,"{'bodys': {}, 'pattrens': {}}"
730,furnitures,高聳庭園石,たかいにわいし,tall garden rock,,9000,家具,日式,['庭園'],無,False,1x1,DIY,True,"[{'count': 60, 'itemName': '石頭'}]",['成熟型村民'],,無,無,False,False,FtrGardenrockTall,1.0.0,"{'bodys': {}, 'pattrens': {}}"
739,furnitures,茶几,ちゃぶだい,tea table,,1440,家具,書桌,"['東洋風', '客廳']",無,False,2x2,DIY,True,"[{'count': 12, 'itemName': '硬木材'}]",['暴躁型村民'],,主體顏色,無,True,False,FtrDiningtableJapan_Remake_0_0,1.0.0,"{'bodys': {'自然木色': '0', '黑木色': '1', '橘木色': '2', '淺木色': '3', '紅木色': '4'}, 'pattrens': {}}"
742,furnitures,壁爐,だんろ,fireplace,5900,1475,家具,壁爐,"['客廳', '富裕']",無,True,2x1,Nook商店,False,,,,無,無,False,False,FtrFireplace_Remake_0_0,1.0.0,"{'bodys': {'紅色': '0', '深棕色': '1', '米色': '2', '白色': '3'}, 'pattrens': {}}"
787,furnitures,卡帶收音機,ラジカセ,tape deck,2900,725,小物件,音響,['客廳'],無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrRadicase_Remake_0_0,1.0.0,"{'bodys': {'銀色': '0', '橘色': '1', '白色': '2', '黑色': '3'}, 'pattrens': {}}"
790,furnitures,高級音響,こうきゅうコンポ,hi-fi stereo,82000,20500,家具,音響,"['客廳', '富裕']",無,True,2x1,Nook商店,False,,,,無,無,False,False,FtrComponentHighclass,1.0.0,"{'bodys': {}, 'pattrens': {}}"
791,furnitures,點唱機,ジュークボックス,jukebox,5600,1400,家具,音響,"['商店', '設施']",餐館,True,1x1,Nook商店,False,,,,無,無,False,False,FtrJukebox,1.0.0,"{'bodys': {}, 'pattrens': {}}"
793,furnitures,多媒體音響,マルチコンポ,high-end stereo,10000,2500,家具,音響,['客廳'],無,True,2x1,Nook商店,False,,,,無,無,False,False,FtrComponentPro,1.0.0,"{'bodys': {}, 'pattrens': {}}"
794,furnitures,留聲機,ちくおんき,phonograph,53000,13250,小物件,音響,['富裕'],無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrPhonograph,1.0.0,"{'bodys': {}, 'pattrens': {}}"
796,furnitures,復古立體音響,レトロなステレオ,retro stereo,6000,1500,家具,音響,['客廳'],無,True,2x1,Nook商店,False,,,,無,無,False,False,FtrStereoRetro_Remake_0_0,1.0.0,"{'bodys': {'黑色': '0', '棕色': '1'}, 'pattrens': {}}"
805,furnitures,蘑菇燈,キノコのランプ,mush lamp,,1600,家具,燈,['庭園'],蘑菇,True,1x1,DIY,True,"[{'count': 1, 'itemName': '瘦小蘑菇'}, {'count': 5, 'itemName': '黏土'}]",['氣球'],僅在蘑菇季節期間獲得,蘑菇品種,無,True,False,FtrMushroomLamp_Remake_0_0,1.0.0,"{'bodys': {'常見蘑菇': '0', '白色蘑菇': '1', '奇怪蘑菇': '2', '紅色蘑菇': '3', '黃色蘑菇': '4'}, 'pattrens': {}}"
808,furnitures,蘑菇桌,キノコのテーブル,mush table,,1520,家具,桌子,['庭園'],蘑菇,False,2x2,DIY,True,"[{'count': 2, 'itemName': '扁平蘑菇'}, {'count': 6, 'itemName': '木材'}]",['氣球'],僅在蘑菇季節期間獲得,蘑菇品種,無,True,False,FtrMushroomTableL_Remake_0_0,1.0.0,"{'bodys': {'常見蘑菇': '0', '白色蘑菇': '1', '奇怪蘑菇': '2', '紅色蘑菇': '3', '黃色蘑菇': '4'}, 'pattrens': {}}"
832,furnitures,辦公室椅子,オフィスのチェア,modern office chair,2200,550,家具,椅子,['辦公室'],無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrOfficeChair_Remake_0_0,1.0.0,"{'bodys': {'藍色': '0', '綠色': '1', '黃色': '2', '紅色': '3', '淺藍色': '4', '粉紅色': '5', '黑色': '6'}, 'pattrens': {}}"
833,furnitures,置物櫃,ロッカー,upright locker,3700,925,家具,櫃子,"['學校', '設施']",無,False,1x1,Nook商店,False,,,,無,貼紙,False,True,FtrLocker_Remake_0_0,1.0.0,"{'bodys': {'銀色': '0', '白色': '1', '黑色': '2', '紅色': '3', '藍色': '4', '綠色': '5', '黃色': '6'}, 'pattrens': {'無': '0', '清新': '1', '可愛': '2', '繽紛': '3', '訊息': '4'}}"
839,furnitures,保險箱,きんこ,safe,3600,900,家具,櫃子,"['設施', '富裕']",無,False,1x1,Nook商店,False,,,,無,無,False,False,FtrSafebox_Remake_0_0,1.0.0,"{'bodys': {'銀色': '0', '白色': '1', '黑色': '2', '金色': '3'}, 'pattrens': {}}"
840,furnitures,辦公室桌子,オフィスのデスク,office desk,3600,900,家具,書桌,['辦公室'],無,False,2x1,Nook商店,False,,,,無,無,False,False,FtrOfficeTable_Remake_0_0,1.0.0,"{'bodys': {'白色': '0', '米色×白色': '1', '棕色×黑色': '2', '灰色': '3'}, 'pattrens': {}}"
846,furnitures,中音薩克斯風,アルトサックス,alto saxophone,3400,850,家具,樂器,['音樂'],無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrAltosax,1.0.0,"{'bodys': {}, 'pattrens': {}}"
849,furnitures,擴音器,アンプ,amp,5100,1275,小物件,樂器,['演唱會'],無,False,1x1,Nook商店,False,,,,無,無,False,False,FtrAmp_Remake_0_0,1.0.0,"{'bodys': {'黑色': '0', '白色': '1', '橘色': '2', '棕色': '3', '藍色': '4', '紅色': '5', '粉紅色': '6'}, 'pattrens': {}}"
863,furnitures,撞球桌,ビリヤードのだい,billiard table,77000,19250,家具,運動,"['商店', '設施']",無,False,2x1,Nook商店,False,,,,無,無,False,False,FtrBilliard_Remake_0_0,1.0.0,"{'bodys': {'綠色': '0', '紅色': '1', '藍色': '2'}, 'pattrens': {}}"
864,furnitures,搖獎機,ビンゴマシン,bingo wheel,1000,250,小物件,玩具,['派對'],無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrBingo,1.0.0,"{'bodys': {}, 'pattrens': {}}"
865,furnitures,鳥籠,とりかご,birdcage,,960,家具,動物,['客廳'],無,True,1x1,DIY,True,"[{'count': 8, 'itemName': '木材'}]",['大姐姐型村民'],,油漆,無,True,False,FtrBirdcage_Remake_0_0,1.0.0,"{'bodys': {'棕色': '0', '粉紅色': '1', '藍色': '2', '白色': '3', '黑色': '4'}, 'pattrens': {}}"
870,furnitures,書擋,ブックスタンド,book stands,1100,275,小物件,學習,"['書房', '兒童房']",無,False,1x1,Nook商店,False,,,,無,無,False,False,FtrBookstand_Remake_0_0,1.0.0,"{'bodys': {'彩色': '0', '棕色': '1', '黑色': '2', '粉嫩色': '3'}, 'pattrens': {}}"
875,furnitures,電源總開關,ブレーカー,breaker,820,205,壁掛物,家用電器,"['車庫', '設施']",無,False,1x1 ,Nook商店,False,,,,無,無,False,False,FtrBreaker,1.0.0,"{'bodys': {}, 'pattrens': {}}"
880,furnitures,木製水桶,もくせいのバケツ,wooden bucket,,1110,家具,花園,['庭園'],木製,False,1x1,DIY,True,"[{'count': 3, 'itemName': '木材'}, {'count': 1, 'itemName': '鐵礦石'}]","['自戀型村民', '狸克']",幫村民蓋房子劇情中有50%機會獲得,無,無,False,False,FtrBucketWood,1.0.0,"{'bodys': {}, 'pattrens': {}}"
889,furnitures,露營爐具,コッフェル,camp stove,1300,325,小物件,戶外裝飾,['戶外'],無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrKocher_Remake_0_0,1.0.0,"{'bodys': {'黃色': '0', '紅色': '1', '藍色': '2', '綠色': '3', '棕色': '4', '黑色': '5'}, 'pattrens': {}}"
891,furnitures,聖誕蠟燭,クリスマスキャンドル,holiday candle,,600,小物件,燈,"['派對', '奇幻']",聖誕節,True,1x1,DIY,True,"[{'count': 5, 'itemName': '紅色裝飾品'}, {'count': 5, 'itemName': '雜草'}]",['氣球'],僅在聖誕季節期間獲得,顏色,無,True,False,FtrCandleXmas_Remake_0_0,1.0.0,"{'bodys': {'紅色': '0', '藍色': '1', '金色': '2', '棕色': '3', '粉紅色': '4'}, 'pattrens': {}}"
896,furnitures,貓跳台,キャットタワー,cat tower,3000,750,家具,動物,['客廳'],無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrCattower_Remake_0_0,1.0.0,"{'bodys': {'米色': '0', '棕色': '1', '海軍藍': '2', '灰色': '3', '粉紅色': '4', '白色': '5'}, 'pattrens': {}}"
907,furnitures,吸塵器,そうじき,vacuum cleaner,3800,950,家具,家用電器,['客廳'],無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrCleaner_Remake_0_0,1.0.0,"{'bodys': {'紅色': '0', '黃色': '1', '綠色': '2', '灰色': '3', '黑色': '4'}, 'pattrens': {}}"
908,furnitures,直立式吸塵器,スティックそうじき,upright vacuum,2500,625,家具,家用電器,['客廳'],無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrCleanerStick_Remake_0_0,1.0.0,"{'bodys': {'銀色': '0', '白色': '1', '黑色': '2', '紅色': '3', '橘色': '4', '綠色': '5', '粉紅色': '6'}, 'pattrens': {}}"
915,furnitures,布穀鳥鐘,はとどけい,cuckoo clock,3200,800,壁掛物,時鐘,"['客廳', '兒童房']",無,True,1x1.5 ,Nook商店,False,,,,無,無,False,False,FtrCuckooclock_Remake_0_0,1.0.0,"{'bodys': {'自然色': '0', '綠色': '1', '藍色': '2', '黃色': '3', '紅色': '4', '白色': '5', '黑色': '6'}, 'pattrens': {}}"
918,furnitures,咖啡杯,コーヒーカップ,coffee cup,270,67,小物件,餐飲,"['廚房', '商店']",無,False,1x1,Nook商店,False,,,,無,無,False,False,FtrCoffeecup_Remake_0_0,1.0.0,"{'bodys': {'無圖案': '0', '花草': '1', '圓點': '2', '玫瑰': '3', '皇室': '4', '華麗': '5'}, 'pattrens': {}}"
920,furnitures,咖啡磨豆機,コーヒーミル,coffee grinder,2200,550,小物件,廚房用品,"['廚房', '商店']",無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrCoffeemill,1.0.0,"{'bodys': {}, 'pattrens': {}}"
928,furnitures,廚房掛勾,キッチンつるし,pot rack,3000,750,壁掛物,廚房用品,"['廚房', '商店']",無,False,2x1 ,Nook商店,False,,,,無,無,False,False,FtrPotrack_Remake_0_0,1.0.0,"{'bodys': {'木製': '0', '不鏽鋼': '1', '繽紛': '2'}, 'pattrens': {}}"
929,furnitures,空調,エアコン,air conditioner,63000,15750,壁掛物,空調,"['辦公室', '設施']",無,True,2x1 ,Nook商店,False,,,,無,無,False,False,FtrAirconditioner_Remake_0_0,1.0.0,"{'bodys': {'白色': '0', '灰色': '1', '黑色': '2', '粉紅色': '3', '藍色': '4', '棕色': '5'}, 'pattrens': {}}"
931,furnitures,豐饒之角,ほうじょうのつの,cornucopia,10000,2500,小物件,民俗藝品,['派對'],感恩節,False,2x1,富藍,False,,,,無,無,False,False,FtrCornucopia,1.6.0,"{'bodys': {}, 'pattrens': {}}"
937,furnitures,飛鏢靶,ダーツボード,dartboard,5200,1300,家具,運動,"['商店', '設施']",無,True,1x1,Nook商店,False,,,,無,無,False,False,FtrDarts,1.0.0,"{'bodys': {}, 'pattrens': {}}"
