id,name_e,name_j,name_c,realArtworkTitle,realArtworkTitle_tw,artist,museumDescription,obtainedFrom,filename,haveFake,interact,itemCategory,themes,tag,size,realArtImage
46,proper painting,にぎやかなめいが,熱鬧的名畫,A Bar at The Folies-Bergère,女神遊樂廳的吧檯,愛德華‧馬奈 1882年左右 [油彩‧畫布],女子身後的大鏡子裡映照出來劇場的人們熱鬧喧囂的樣子。仔細一看，鏡中反照出這名女子的背面，其位置關係和物品配置上有諸多矛盾，暗藏著許多謎團。這是馬奈結合多方視角所構圖而成的最後大作。在此畫完成後的隔一年，馬奈逝世，享年51歲。,狐利-九尾市場,FtrArtBarFB,False,False,Wall-mounted,"['昂貴', '設施']",圖畫,2.0x1.0,https://upload.wikimedia.org/wikipedia/commons/8/8f/Edouard_Manet_004.jpg
48,nice painting,いいめいが,很好的名畫,The Fifer,吹笛子的少年,愛德華‧馬奈 1866年 [油彩‧畫布],這是馬奈初期的作品，描繪一名穿軍服的少年正在吹奏笛子。人物像搭配空無一物的背景，這種構圖方式是受到維拉斯奎茲的影響。馬奈這種毫無遠近感，只以強烈對比的色塊構成的作品，對後代的畫家有很大的影響，同時也被稱之為「印象派之父」。順帶一提，畫中正在吹奏的是橫笛，依手指位置來看，他正在吹的音是「So」。,狐利-九尾市場,FtrArtFifePlayer,False,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x2.0,https://upload.wikimedia.org/wikipedia/commons/a/a2/Manet%2C_Edouard_-_Young_Flautist%2C_or_The_Fifer%2C_1866_%282%29.jpg
50,flowery painting,たぐいまれなるめいが,珍貴的名畫,Sunflowers,向日葵,文森‧威廉‧梵谷 1888年左右 [油彩‧畫布],這幅畫是梵谷為了追求鮮豔的色彩，移居南法亞爾時所創作的作品。黃色是梵谷最愛的顏色。梵谷在亞爾繪製的向日葵畫作共有七件，現存六件，其中一件在東京。,狐利-九尾市場,FtrArtSunflower,False,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/4/46/Vincent_Willem_van_Gogh_127.jpg
52,moody painting,ちからづよいめいが,強健的名畫,The Sower,播種者,尚-法蘭索瓦‧米勒 1857年 [油彩‧畫布],這幅畫是從巴黎搬到農村後，描繪農民朝田地撒種的樣子。畫中除了描繪與大地共生的農民強而有力的樣貌外，還包含了宗教的意義。對後代的畫家，包括梵谷，有深遠的影響。,狐利-九尾市場,FtrArtSlower,False,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/0/0b/Jean-Fran%C3%A7ois_Millet_%28II%29_013.jpg
56,amazing painting,すごいめいが,驚人的名畫,The Night Watch,夜巡,林布蘭‧哈爾曼松‧范‧萊因 1642年 [油彩‧畫布],這幅畫是17世紀荷蘭畫家林布蘭描繪民兵隊出巡的最高傑作。當時的肖像畫普遍還是直立不動的，但此畫作卻生動地描繪民兵的動作，巧妙地搭配光影，呈現出戲劇化的場景。原本以為這幅畫是描繪黑夜中的情景，直到修復畫作時，才知道應該是白天，只因畫作上的漆發黑，才會看起來暗暗的。,狐利-九尾市場,FtrArtNightWatch,True,False,Wall-mounted,"['昂貴', '設施']",圖畫,2.0x2.0,https://upload.wikimedia.org/wikipedia/commons/3/3a/La_ronda_de_noche%2C_por_Rembrandt_van_Rijn.jpg
66,scary painting,いなせなめいが,俊俏的名畫,Ōtani Oniji the 3rd as Yakko Edobei,三世大谷鬼次-奴江戶兵衛,東洲齋寫樂 1794年 [木版畫],這幅畫為江戶時代中期的浮世繪畫師東洲齋寫樂所畫的演員肖像。寫樂留有140張浮世繪於世，但其活躍期間卻僅約10個月。,狐利-九尾市場,FtrArtOotaniOniji,True,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/0/0e/Toshusai_Sharaku-_Otani_Oniji%2C_1794.jpg
68,worthy painting,かちのあるめいが,名貴的名畫,Liberty Leading the People,自由引導人民,歐仁‧德拉克羅瓦 1830年 [油彩‧畫布],19世紀法國浪漫主義代表畫家德拉克羅瓦於1830年經歷法國7月革命後，同年繪製了這幅畫。正中間的女子經常被誤認為「聖女貞德」，但其實她的形象是來自於一位架空的女性「瑪莉安」。,狐利-九尾市場,FtrArtLibertyLeading,False,False,Wall-mounted,"['昂貴', '設施']",圖畫,2.0x1.5,https://upload.wikimedia.org/wikipedia/commons/5/5d/Eug%C3%A8ne_Delacroix_-_Le_28_Juillet._La_Libert%C3%A9_guidant_le_peuple.jpg
72,solemn painting,おごそかなめいが,肅穆的名畫,Las Meninas,侍女,迪亞哥‧維拉斯奎茲 1656年左右 [油彩‧畫布],這是任職於西班牙宮廷的維拉斯奎茲的名作。由於畫出小公主和身旁侍女們的樣子，因此被命名為「侍女」。畫面左側是畫家維拉斯奎茲本人，右側的鏡中則是映照著國王和皇后的身影。其實這幅畫是從國王視角看向維拉斯奎茲在為國王和皇后作畫的情景。,狐利-九尾市場,FtrArtLasMeninas,True,False,Wall-mounted,"['昂貴', '設施']",圖畫,2.0x2.0,https://upload.wikimedia.org/wikipedia/commons/3/31/Las_Meninas%2C_by_Diego_Vel%C3%A1zquez%2C_from_Prado_in_Google_Earth.jpg
76,wild painting right half,あらぶるめいがのみぎ,粗野的名畫右半邊,Folding Screen of Fūjin and Raijin,風神雷神圖屏風（風神）,俵屋宗達 寛永年間左右 [紙本金地著色],這是江戶時代初期畫家俵屋宗達的大作，在兩扇一對的屏風上貼滿金箔作為背景，以流動感強烈的筆鋒畫上風神和雷神。題材簡略化、形式化和省略背景的設計風格為之後的尾形光琳所繼承，並以「琳派」流傳到現代。,狐利-九尾市場,FtrArtFuujin,True,False,Housewares,"['昂貴', '設施']",圖畫,2.0x1.0,https://upload.wikimedia.org/wikipedia/commons/1/10/Fujinraijin-tawaraya.jpg
78,calm painting,おだやかなめいが,和煦的名畫,A Sunday Afternoon on the Island of La Grande Jatte,大碗島的星期天下午,喬治‧秀拉 1885年左右 [油彩‧畫布],這幅畫是新印象派創始人秀拉僅以小圓點所創作的作品。秀拉還發明了為呈現鮮明的色彩而不將顏料混色的技法。這幅人們在法國塞納河中的一座小島上開心度假的情景，費時兩年才完成。,狐利-九尾市場,FtrArtSundayOn,False,False,Wall-mounted,"['昂貴', '設施']",圖畫,2.0x1.5,https://upload.wikimedia.org/wikipedia/commons/7/7d/A_Sunday_on_La_Grande_Jatte%2C_Georges_Seurat%2C_1884.jpg
1331,motherly statue,ぼせいあふれるちょうこく,充滿母愛的雕塑,Capitoline Wolf,母狼乳嬰,作者不明 西元前５世紀左右 [青銅],這是羅馬神話裡養育雙胞胎的狼。雙胞胎是於15世紀時才加上去的，而狼的銅像則是西元前5世紀的歷史性傑作。話雖如此，但最近又有研究顯示這是11～12世紀的銅像。（本館的展示暫且保留西元前5世紀左右的說法。）,狐利-九尾市場,FtrSculptureCapitolini,True,False,Housewares,"['昂貴', '民間藝術']",雕塑,2.0x1.0,https://upload.wikimedia.org/wikipedia/commons/a/aa/Capitoline_she-wolf_Musei_Capitolini_MC1181.jpg
1333,gallant statue,りりしいちょうこく,英挺的雕塑,David,大衛像,米開朗基羅‧博納羅蒂 1504年左右 [大理石],這是雙眼怒視敵人，手拿布條，準備朝敵人投出石頭的少年大衛像。米開朗基羅費時三年多才製作完成。仔細看眼睛會發現瞳孔被刻成愛心的形狀，但因為當時還沒有愛心符號的概念，所以被認為是一種光線映入瞳孔的表現。不過，也太大了吧。,狐利-九尾市場,FtrSculptureDavid,True,False,Housewares,"['昂貴', '民間藝術']",雕塑,2.0x2.0,https://upload.wikimedia.org/wikipedia/commons/a/a0/%27David%27_by_Michelangelo_Fir_JBU002.jpg
1335,robust statue,たくましいちょうこく,強壯的雕塑,Discobolus,擲鐵餅者,作者不明 2世紀左右 [大理石],這是以古希臘雕刻家米隆的作品為原型，於羅馬製作的雕像。是一個展現人體美的作品。無論從哪個角度觀看都很美。,狐利-九尾市場,FtrSculptureDiskobolos,True,False,Housewares,"['昂貴', '民間藝術']",雕塑,2.0x1.0,https://upload.wikimedia.org/wikipedia/commons/5/5f/Greek_statue_discus_thrower_2_century_aC.jpg
1337,ancient statue,いにしえのちょうこく,遠古的雕塑,"Jōmon Period ""Dogū"" Figurine Shakōki-dogū",遮光器土偶,作者不明 西元前1000年～400年左右 [素燒陶器],這是繩文時代出土的神秘人形土偶，以泥土捏製並素燒而成。大大圓圓的眼睛猶如可以遮光的護目鏡，因此被叫做「遮光器」土偶。,狐利-九尾市場,FtrSculptureDoguu,True,False,Miscellaneous,"['昂貴', '民間藝術']",雕塑,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/6/6c/Dogu_Miyagi_1000_BCE_400_BCE.jpg
1339,great statue,いだいなちょうこく,偉大的雕塑,King Kamehameha I,卡美哈梅哈大帝像,湯瑪斯‧R‧古爾德 1883年 [青銅],這是1810年夏威夷統一時，建立夏威夷王朝的卡美哈梅哈大帝的銅像。每年6月11日卡美哈梅哈大帝節時，上面都會被掛上很多花圈。,狐利-九尾市場,FtrSculptureKamehameha,False,False,Housewares,"['昂貴', '民間藝術']",雕塑,2.0x2.0,https://upload.wikimedia.org/wikipedia/commons/e/ee/Kamehameha_I_full_5110.png
1341,beautiful statue,うつくしいちょうこく,美麗的雕塑,Venus de Milo,米洛的維納斯,作者不明 西元前130年左右 [大理石],這座愛與美的女神維納斯的石像是在米洛島上發現的。這座美麗的雕塑究竟本來是什麼姿勢，引起大家無限想像。,狐利-九尾市場,FtrSculptureMilo,True,False,Housewares,"['昂貴', '民間藝術']",雕塑,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/a/a5/Venus_de_Milo_Louvre_Ma399.jpg
1343,mystic statue,しんぴてきなちょうこく,神祕的雕塑,Bust of Nefertiti,娜芙蒂蒂胸像,圖特摩斯 西元前1345年左右 [石灰岩],這是古埃及三大美女之一娜芙蒂蒂的胸像，其名字含有「難得一見的美人」之意。左眼的缺陷究竟是嵌入物被人取出，還是尚未完成，目前仍不得而知。,狐利-九尾市場,FtrSculptureNefertiti,True,False,Miscellaneous,"['昂貴', '民間藝術']",雕塑,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/1/1f/Nofretete_Neues_Museum.jpg
1345,valiant statue,こうごうしいちょうこく,神聖的雕塑,Nike of Samothrace,薩莫色雷斯的勝利女神,作者不明 西元前190年左右 [大理石],這是在薩莫色雷斯島上發現的勝利女神尼克的雕像。呈現出女神降落在船頭的樣子。雕像被發現時支離破碎，後來才組合復原，不過頭部和兩隻手仍尚未找到。,狐利-九尾市場,FtrSculptureSamothrace,True,False,Housewares,"['昂貴', '民間藝術']",雕塑,2.0x2.0,https://upload.wikimedia.org/wikipedia/commons/e/ee/Nike_of_Samothrake_Louvre_Ma2369_n2.jpg
12533,rock-head statue,いしあたまなちょうこく,石頭顱雕塑,Olmec Colossal Head,奧爾梅克巨型頭顱,作者不明 西元前1000年左右 [玄武岩、安山岩],這是在墨西哥的奧爾梅克古文明遺跡中發現的巨大石像。因此被稱為奧爾梅克頭顱。最大的高達3公尺。一般認為當時只建造了頭部，沒有軀體。,狐利-九尾市場,FtrSculptureOlmecaHead,True,False,Housewares,"['昂貴', '民間藝術']",雕塑,2.0x2.0,https://upload.wikimedia.org/wikipedia/commons/d/d5/Olmeca_head_in_Villahermosa.jpg
12535,informative statue,てがかりのちょうこく,線索的雕塑,Rosetta Stone,羅塞塔石碑,作者不明 西元前196年 [花崗閃長岩],這是1799年於埃及羅塞塔發現的石碑。是解讀古埃及神聖文字（一種象形文字）的重要線索。類似的文章以三種文字記載，上段為神聖文字聖書體，中段為平民文字世俗體，下段為古希臘文。,狐利-九尾市場,FtrSculptureRosettaStone,True,False,Housewares,"['昂貴', '民間藝術']",雕塑,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/2/23/Rosetta_Stone.JPG
12537,tremendous statue,とてつもないちょうこく,出乎意料的雕塑,Houmuwu Ding,后母戊鼎,作者不明 西元前1200年 [青銅],這是中國古代最大且最重的祭祀青銅器。鼎的內壁刻有銘文，因此判定是君王為祭祀母親而鑄造的。,狐利-九尾市場,FtrSculptureHoumuwuDing,True,False,Housewares,"['昂貴', '民間藝術']",雕塑,2.0x1.0,https://upload.wikimedia.org/wikipedia/commons/c/c2/HouMuWuDingFullView.jpg
12539,warrior statue,もののふのちょうこく,武士的雕刻,Terracotta Army,兵馬俑,作者不明 西元前210年 [陶],這座素燒的士兵像是為了在死後的世界守護秦始皇而建造的陪葬品。1974年發現了將近8000件歷經2000多年的雕像。每座雕像都與真人大小相同，並且不是以模具製作，而是人工雕刻的，因此不論表情、服裝還是姿勢，都有所不同。,狐利-九尾市場,FtrSculptureHeibayo,True,False,Housewares,"['昂貴', '民間藝術']",雕塑,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/a/af/I_was_impressed_with_the_life-like_expression_%2835300697030%29.jpg
12541,familiar statue,なじみのあるちょうこく,似曾相識的雕塑,The Thinker,沉思者,奧古斯特‧羅丹 1902年 [青銅],這座舉世聞名的銅像是近代雕刻之父，法國雕刻家羅丹建造的。原雕塑位於法國，被鑄造超過20件，所以世界各地的展示品都被視為真品。在日本的上野和京都也都有戶外展示。,狐利-九尾市場,FtrSculptureThinker,False,False,Housewares,"['昂貴', '民間藝術']",雕塑,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/b/bf/Le_Penseur_in_the_Jardin_du_Mus%C3%A9e_Rodin%2C_Paris_14_June_2015.jpg
12570,wild painting left half,あらぶるめいがのひだり,粗野的名畫左半邊,Folding Screen of Fūjin and Raijin,風神雷神圖屏風（雷神）,俵屋宗達 寛永年間左右 [紙本金地著色],這是江戶時代初期畫家俵屋宗達的大作，在兩扇一對的屏風上貼滿金箔作為背景，以流動感強烈的筆鋒畫上風神和雷神。題材簡略化、形式化和省略背景的設計風格為之後的尾形光琳所繼承，並以「琳派」流傳到現代。,狐利-九尾市場,FtrArtRaijin,True,False,Housewares,"['昂貴', '設施']",圖畫,2.0x1.0,https://upload.wikimedia.org/wikipedia/commons/1/10/Fujinraijin-tawaraya.jpg
12618,twinkling painting,またたくめいが,閃爍的名畫,The Starry Night,星夜,文森‧威廉‧梵谷 1889年左右 [油彩‧畫布],這是梵谷在精神病院療養時所繪製的晚年代表作。但這並不是真實呈現從病房看到的風景，而是包含了記憶和幻想。梵谷在寫信給其他畫家時提到這幅畫是一件失敗的作品，可見梵谷當時對自己相當不滿意。,狐利-九尾市場,FtrArtStarryNight,False,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/e/ea/Van_Gogh_-_Starry_Night_-_Google_Art_Project.jpg
12619,academic painting,アカデミックなめいが,學術性的名畫,Vitruvian Man,維特魯威人,李奧納多‧達文西 1487年左右 [筆與墨水‧紙張],這幅人體圖是參考西元前１世紀的建築師 維特魯威的著作《建築書》後，按照人體的理想比例所繪製出來的。,狐利-九尾市場,FtrArtVitruvianMan,True,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Da_Vinci_Vitruve_Luc_Viatour.jpg/800px-Da_Vinci_Vitruve_Luc_Viatour.jpg
12621,sinking painting,しずみゆくめいが,沉沒的名畫,Ophelia,奧菲莉亞,約翰‧艾佛雷特‧米萊 1852年 [油彩‧畫布],奧菲莉亞是莎士比亞名劇「哈姆雷特」中的女主角。在描繪得精美且細緻的大自然中，女子如失了魂般倒在河川裡，臉上帶著看破生死的莊嚴表情，牽動著鑑賞者的心。,狐利-九尾市場,FtrArtOphelia,False,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/9/94/John_Everett_Millais_-_Ophelia_-_Google_Art_Project.jpg
12622,detailed painting,ちみつなめいが,細緻的名畫,Ajisai Sōkeizu,紫陽花雙雞圖,伊藤若沖 18世紀 [絹本著色],這幅畫是由江戶時代中期活躍於京都的奇想畫家伊藤若沖所創作的雞圖。畫中色彩鮮艷的雞相當精緻且栩栩如生。200多年前的作品至今仍然色彩鮮艷，據說其中一個原因是因為採用了極高品質（昂貴）的礦石顏料和畫布。,狐利-九尾市場,FtrArtAjisaisoukeizu,True,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x2.0,https://ct.yimg.com/xd/api/res/1.2/gP8ifaikOCI2Ln96GIQrcw--/YXBwaWQ9eXR3YXVjdGlvbnNlcnZpY2U7aD02MDA7cT04NTtyb3RhdGU9YXV0bzt3PTQxNg--/https://s.yimg.com/ob/image/84f4c987-39fd-4a2a-b4cf-557b0a8d25fb.jpg
12624,glowing painting,ひかりのめいが,光線的名畫,The Fighting Temeraire,勇莽號戰艦,約瑟夫‧瑪羅德‧威廉‧特納 1839年 [油彩‧畫布],這是光的畫家特納的名作。由納爾遜將軍率領的英國海軍戰艦，在完成最後的任務後，被拖向拆船廠的情景被描繪得栩栩如生。,狐利-九尾市場,FtrArtFightingTemeraire,False,False,Wall-mounted,"['昂貴', '設施']",圖畫,1.0x1.0,https://upload.wikimedia.org/wikipedia/commons/3/30/The_Fighting_Temeraire%2C_JMW_Turner%2C_National_Gallery.jpg
12625,mysterious painting,なぞめいためいが,神秘的名畫,Isle of The Dead,死之島,阿諾德‧勃克林 1883年 [油彩‧畫布],這座墳墓之島漂浮在如鏡子般幽靜的海上，四周環繞著懸崖峭壁，而承載屍體的小船無聲地靠近。整幅畫帶有恐怖卻平靜的氣氛。這幅畫是象徵主義畫家勃克林的作品，並非真實描繪眼前所見景象，而是想要呈現出人類隱藏的內心和想法。,狐利-九尾市場,FtrArtIsleOfDead,False,False,Wall-mounted,"['昂貴', '設施']",圖畫,2.0x1.0,https://upload.wikimedia.org/wikipedia/commons/d/de/Arnold_B%C3%B6cklin_-_Die_Toteninsel_I_%28Basel%2C_Kunstmuseum%29.jpg
