index	name_c	name_j	name_e	price	weather	place	N_month	S_month	time	remark
48	琉璃星天牛	ルリボシカミキリ	Rosalia batesi beetle	3000	非雨雪天	樹樁	5;6;7;8;9	11;12;1;2;3	全天	
49	寶石象鼻蟲	ホウセキゾウムシ	Blue weevil beetle	800	無影響	樹幹	7;8	1;2	全天	
50	蜣螂	フンコロガシ	Dung beetle	3000	無影響	雪球附近出現	12;1;2	6;7;8	全天	
51	雪隱金龜	オオセンチコガネ	Earth-boring dung beetle	300	無影響	草地	7;8;9	1;2;3	全天	地面爬行
52	寶石金龜	プラチナコガネ	Scarab beetle	10000	無影響	樹幹	7;8	1;2	23點-8點	
53	日銅鑼花金龜	カナブン	Drone beetle	200	無影響	樹幹	7;8;9	1;2;3	全天	
54	哥利亞大角花金龜	ゴライアスオオツノハナムグリ	Goliath beetle	8000	無影響	樹幹	6;7;8;9	12;1;2;3	17點-8點	
55	鋸鍬形蟲	ノコギリクワガタ	Saw stag	2000	無影響	樹幹	7;8	1;2	全天	
56	深山鍬形蟲	ミヤマクワガタ	Miyama stag	1000	無影響	樹幹	7;8	1;2	全天	
57	大鍬形蟲	オオクワガタ	Giant stag	10000	無影響	樹幹	7;8	1;2	23點-8點	
58	彩虹鍬形蟲	ニジイロクワガタ	Rainbow stag	6000	無影響	樹幹	6;7;8;9	12;1;2;3	19點-8點	
59	細身赤鍬形蟲	ホソアカクワガタ	Cyclommatus stag	8000	無影響	樹幹	7;8	1;2	17點-8點	
60	黃金鬼鍬形蟲	オウゴンオニクワガタ	Golden stag	12000	無影響	樹幹	7;8	1;2	17點-8點	
61	長頸鹿鋸鍬形蟲	ギラファノコギリクワガタ	Giraffe stag	12000	無影響	樹幹	7;8	1;2	17點-8點	
62	獨角仙	カブトムシ	Horned dynastid	1350	無影響	樹幹	7;8	1;2	17點-8點	
63	高卡薩斯南洋大兜蟲	コーカサスオオカブト	Horned atlas	8000	無影響	樹幹	7;8	1;2	17點-8點	
64	象兜蟲	ゾウカブト	Horned elephant	8000	無影響	樹幹	7;8	1;2	17點-8點	
65	長戟大兜蟲	ヘラクレスオオカブト	Horned hercules	12000	無影響	樹幹	7;8	1;2	17點-8點	
66	竹節蟲	ナナフシ	Walking stick	600	無影響	樹幹	7;8;9;10;11	1;2;3;4;5	4點-8點、17點-19點	
67	葉竹隱蟲	コノハムシ	Walking leaf	600	無影響	樹下擬態葉片	7;8;9	1;2;3	全天	
68	蓑衣蟲	ミノムシ	Bagworm	600	無影響	樹幹	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	全天	搖晃敲擊垂下
69	螞蟻	アリ	Ant	80	無影響	地面	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	全天	腐爛大頭菜
70	寄居蟹	ヤドカリ	Hermit crab	1000	無影響	沙灘	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	19點-8點	平時像貝殼
71	海蟑螂	フナムシ	Wharf roach	200	無影響	沙灘大岩石上	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	全天	
72	蒼蠅	ハエ	Fly	60	無影響	飛行	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	全天	垃圾或
73	蚊子	カ	Mosquito	130	非雨雪天	隨機出現	6;7;8;9	12;1;2;3	17點-4點	
74	跳蚤	ノミ	Flea	70	無影響	居民身上	4;5;6;7;8;9;10;11	9;10;11;12;1;2;3;4;5	全天	
75	蝸牛	カタツムリ	Snail	250	雨天	雨天石頭上	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	全天	會逃跑
76	鼠婦	ダンゴムシ	Pill bug	250	無影響	石頭	9;10;11;12;1;2;3;4;5;6	3;4;5;6;7;8;9;10;11;12	23點-16點	敲擊
77	蜈蚣	ムカデ	Centipede	300	無影響	石頭	9;10;11;12;1;2;3;4;5;6	3;4;5;6;7;8;9;10;11;12	16點-23點	敲擊
78	蜘蛛	クモ	Spider	600	無影響	樹幹	1;2;3;4;5;6;7;8;9;10;11;12	1;2;3;4;5;6;7;8;9;10;11;12	19點-8點	搖晃敲擊垂下
79	狼蛛	タランチュラ	Tarantula	8000	無影響	地面	11;12;1;2;3;4	5;6;7;8;9;10	19點-4點	靠近會主動攻擊
80	蠍子	サソリ	Scorpion	8000	無影響	地面	5;6;7;8;9;10	11;12;1;2;3;4	19點-4點	
